config,condition,matrix,true,pred,count
deg_baseline_2x2,clean,ai,no,no,224
deg_baseline_2x2,clean,ai,no,yes,167
deg_baseline_2x2,clean,ai,yes,no,27
deg_baseline_2x2,clean,ai,yes,yes,382
deg_baseline_2x2,clean,blur,no,no,238
deg_baseline_2x2,clean,blur,no,yes,562
deg_baseline_2x2,clean,blur,yes,no,0
deg_baseline_2x2,clean,blur,yes,yes,0
deg_baseline_2x2,clean,jpeg,no,no,734
deg_baseline_2x2,clean,jpeg,no,yes,66
deg_baseline_2x2,clean,jpeg,yes,no,0
deg_baseline_2x2,clean,jpeg,yes,yes,0
deg_baseline_2x2,jpeg_only,ai,no,no,188
deg_baseline_2x2,jpeg_only,ai,no,yes,184
deg_baseline_2x2,jpeg_only,ai,yes,no,176
deg_baseline_2x2,jpeg_only,ai,yes,yes,252
deg_baseline_2x2,jpeg_only,blur,no,no,387
deg_baseline_2x2,jpeg_only,blur,no,yes,413
deg_baseline_2x2,jpeg_only,blur,yes,no,0
deg_baseline_2x2,jpeg_only,blur,yes,yes,0
deg_baseline_2x2,jpeg_only,jpeg,no,no,0
deg_baseline_2x2,jpeg_only,jpeg,no,yes,0
deg_baseline_2x2,jpeg_only,jpeg,yes,no,2
deg_baseline_2x2,jpeg_only,jpeg,yes,yes,798
deg_baseline_2x2,blur_only,ai,no,no,52
deg_baseline_2x2,blur_only,ai,no,yes,355
deg_baseline_2x2,blur_only,ai,yes,no,22
deg_baseline_2x2,blur_only,ai,yes,yes,371
deg_baseline_2x2,blur_only,blur,no,no,0
deg_baseline_2x2,blur_only,blur,no,yes,0
deg_baseline_2x2,blur_only,blur,yes,no,24
deg_baseline_2x2,blur_only,blur,yes,yes,776
deg_baseline_2x2,blur_only,jpeg,no,no,779
deg_baseline_2x2,blur_only,jpeg,no,yes,21
deg_baseline_2x2,blur_only,jpeg,yes,no,0
deg_baseline_2x2,blur_only,jpeg,yes,yes,0
deg_baseline_2x2,both,ai,no,no,142
deg_baseline_2x2,both,ai,no,yes,230
deg_baseline_2x2,both,ai,yes,no,142
deg_baseline_2x2,both,ai,yes,yes,286
deg_baseline_2x2,both,blur,no,no,0
deg_baseline_2x2,both,blur,no,yes,0
deg_baseline_2x2,both,blur,yes,no,109
deg_baseline_2x2,both,blur,yes,yes,691
deg_baseline_2x2,both,jpeg,no,no,0
deg_baseline_2x2,both,jpeg,no,yes,0
